="description",="record_tracking_list_display_format_id",="age_group_desc",="RecordAgeGroupId",="record_tracking_list_event_id",="gender",="event_id",="distance",="stroke_code",="course_code",="RANK",="swim_time",="individual_time_id",="PersonId",="full_name_computed",="AthleteOrgUnitId",="lsc_id",="club_code",="meet_name",="MeetId",="country_code",="location",="location_country_code",="swim_date",="session_desc",="relay_lead_yn",="bios_display_swap_first_last_name_yn",="disable_name_swapping_yn"
="NCAA Division I Record Progressions",="6",="Open",="7",="1355",="M",="4",="500",="FR",="SCY",="4",="4:08.42",="198436259",="2568853",="Clark Smith",="8157",="Big 12",="TEX",="2017 NCAA DI - Men",="5268",="TEX",="",="",="3/23/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1355",="M",="4",="500",="FR",="SCY",="5",="4:09.82",="151390753",="997346",="Peter Vanderkaay",="7969",="NCAA",="Div I",="2005 NCAA DI - Men",="43809",="Div I",="",="",="3/24/2005",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="32466",="F",="5",="1000",="FR",="SCY",="1",="9:06.90",="293011752",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="2017 NCAA DI - Women",="6360",="STAN",="",="",="3/15/2017",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="32466",="F",="5",="1000",="FR",="SCY",="2",="9:10.49",="214696719",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="Texas @ Stanford Women",="146583",="STAN",="",="",="11/12/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="32466",="F",="5",="1000",="FR",="SCY",="3",="9:20.15",="279860284",="724929",="Leah Smith",="8136",="ACC (A",="UVA",="2016 ACC Champs women",="19539",="UVA",="",="",="2/17/2016",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="32467",="M",="5",="1000",="FR",="SCY",="1",="8:33.93",="169605388",="2568853",="Clark Smith",="8157",="Big 12",="TEX",="Texas Swimming & Diving Hall ",="111273",="TEX",="",="",="12/5/2015",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="32467",="M",="5",="1000",="FR",="SCY",="2",="8:43.48",="234457748",="3159566",="Michael McBroom",="8157",="Big 12",="TEX",="UT vs Arizona vs SMU",="87084",="TEX",="",="",="2/1/2013",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="1",="15:03.31",="279298264",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="Art Adamson Invitational Worki",="119321",="STAN",="",="",="11/18/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="2",="15:03.92",="231956850",="2423430",="Katie Ledecky",="8528",="Pacifi",="STAN",="Ohio State Invitational",="93341",="STAN",="",="",="11/20/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="3",="15:25.30",="248664363",="724929",="Leah Smith",="8136",="ACC (A",="UVA",="2016 ACC Champs women",="19539",="UVA",="",="",="2/20/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="4",="15:27.84",="255740224",="2780877",="Brittany MacLean",="8388",="SEC (S",="UGA",="2014 NCAA DI - Women",="10753",="UGA",="",="",="3/20/2014",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="5",="15:37.06",="171707419",="770355",="Stephanie Peacock",="8334",="ACC (A",="UNC",="Ohio State Invitational",="3806",="UNC",="",="",="11/30/2012",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1343",="F",="6",="1650",="FR",="SCY",="6",="15:38.79",="197977418",="770355",="Stephanie Peacock",="8334",="ACC (A",="UNC",="2012 NCAA DI - Women",="136842",="UNC",="",="",="3/15/2012",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1356",="M",="6",="1650",="FR",="SCY",="1",="14:12.08",="208398112",="844814",="Bobby Finke",="8619",="SEC (S",="FLOR",="2020 SEC Champs",="31697",="FLOR",="",="",="2/22/2020",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1356",="M",="6",="1650",="FR",="SCY",="2",="14:22.41",="233511448",="2568853",="Clark Smith",="8157",="Big 12",="TEX",="2017 NCAA DI - Men",="5268",="TEX",="",="",="3/25/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1356",="M",="6",="1650",="FR",="SCY",="3",="14:24.08",="180436106",="2545268",="Martin Grodzki",="8388",="SEC (S",="UGA",="2012 NCAA DI - Men",="36573",="UGA",="",="",="3/22/2012",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1344",="F",="12",="100",="BK",="SCY",="1",="48.26",="303487760",="1627256",="Gretchen Walsh",="8136",="ACC (A",="UVA",="2023 NCAA Division I Women's Championship",="164414",="UVA","Knoxville, TN",="",="3/17/2023",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1344",="F",="12",="100",="BK",="SCY",="2",="48.74",="278514522",="2321416",="Katharine Berkoff",="8581",="ACC (A",="NCS",="2022 NCAA DI Women's Swimming",="97290",="NCS",="",="",="3/18/2022",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1344",="F",="12",="100",="BK",="SCY",="3",="49.18",="268962849",="332779",="Beata Nelson",="8258",="Big Te",="WISC",="2019 NCAA DI - Women",="100459",="WISC",="",="",="3/22/2019",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1344",="F",="12",="100",="BK",="SCY",="4",="49.67",="161320635",="332779",="Beata Nelson",="8258",="Big Te",="WISC",="Texas Hall of Fame Swimming In",="152489",="WISC",="",="",="11/30/2018",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1344",="F",="12",="100",="BK",="SCY",="5",="50.57",="295040400",="2255128",="Natalie Coughlin",="7969",="NCAA",="Div I",="Unknown Record Meet 1074",="157488",="Div I",="",="",="2/26/2002",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1357",="M",="12",="100",="BK",="SCY",="1",="43.35",="176500906",="1434831",="Luca Urlando",="8388",="SEC (S",="UGA",="2022 NCAA Division I Men's Swimming Championships",="122880",="UGA",="",="",="3/25/2022",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1357",="M",="12",="100",="BK",="SCY",="2",="43.49",="261879085",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2016 NCAA DI - Men",="13430",="CAL",="",="",="3/25/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1357",="M",="12",="100",="BK",="SCY",="3",="43.51",="162335239",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2016 NCAA DI - Men",="13430",="CAL",="",="",="3/24/2016",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1357",="M",="12",="100",="BK",="SCY",="4",="44.17",="207398585",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2015 NCAA DI - Men",="20679",="CAL",="",="",="3/26/2015",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1345",="F",="13",="200",="BK",="SCY",="1",="1:47.24",="200782000",="332779",="Beata Nelson",="8258",="Big Te",="WISC",="2019 NCAA DI - Women",="100459",="WISC",="",="",="3/23/2019",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1345",="F",="13",="200",="BK",="SCY",="2",="1:47.30",="224154107",="546418",="Kathleen Baker",="8084",="Pacifi",="CAL",="2018 NCAA DI - Women",="62067",="CAL",="",="",="3/17/2018",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1345",="F",="13",="200",="BK",="SCY",="3",="1:47.84",="294604474",="2894511",="Elizabeth Pelton",="8084",="Pacifi",="CAL",="2013 NCAA DI - Women",="18555",="CAL",="",="",="3/21/2013",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1345",="F",="13",="200",="BK",="SCY",="4",="1:48.34",="233801439",="2675794",="Gemma Spofforth",="8619",="SEC (S",="FLOR",="2009 SEC Championships",="32942",="FLOR",="",="",="2/18/2009",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1358",="M",="13",="200",="BK",="SCY",="1",="1:35.73",="265206738",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2016 NCAA DI - Men",="13430",="CAL",="",="",="3/26/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1358",="M",="13",="200",="BK",="SCY",="2",="1:36.77",="285060665",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2015 NCAA DI - Men",="20679",="CAL",="",="",="3/28/2015",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1358",="M",="13",="200",="BK",="SCY",="3",="1:37.35",="224958499",="2097441",="Ryan Murphy",="8084",="Pacifi",="CAL",="2014 NCAA DI - Men",="68879",="CAL",="",="",="3/27/2014",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1358",="M",="13",="200",="BK",="SCY",="4",="1:37.58",="278488694",="2382090",="Tyler Clary",="8265",="Big Te",="MICH",="2009 NCAA DI - Men",="10728",="MICH",="",="",="3/26/2009",="Final",="Y",="Y",="Y"
